Index no.,flight_code,source_city,time_taken,stop,destinate_city,price,dep_time_category,arr_time_category,Days_Left,Flight Class
134,6E-369,Delhi,625,1-stop,Mumbai,12833,Night,Morning,6,Business
135,6E-181,Delhi,290,1-stop,Mumbai,14255,Early Morning,Morning,6,Business
136,6E-607,Delhi,610,1-stop,Mumbai,15720,Night,Morning,6,Business
137,6E-2054,Delhi,130,non-stop,Mumbai,5955,Early Morning,Morning,7,Economy
138,6E-5001,Delhi,130,non-stop,Mumbai,5955,Early Morning,Morning,7,Economy
139,6E-5041,Delhi,130,non-stop,Mumbai,5955,Evening,Night,7,Economy
140,6E-2137,Delhi,130,non-stop,Mumbai,5955,Night,Night,7,Economy
141,6E-6722,Delhi,135,non-stop,Mumbai,5955,Night,Night,7,Economy
142,6E-218,Delhi,140,non-stop,Mumbai,5955,Morning,Afternoon,7,Economy
143,6E-2083,Delhi,325,1-stop,Mumbai,5955,Early Morning,Morning,7,Economy
144,6E-5018,Delhi,620,1-stop,Mumbai,5955,Afternoon,Night,7,Economy
145,6E-549,Delhi,135,non-stop,Mumbai,6165,Afternoon,Evening,7,Economy
146,6E-5328,Delhi,150,non-stop,Mumbai,6165,Morning,Afternoon,7,Economy
147,6E-6202,Delhi,130,non-stop,Mumbai,6585,Afternoon,Afternoon,7,Economy
148,6E-2046,Delhi,130,non-stop,Mumbai,6585,Evening,Evening,7,Economy
149,6E-2097,Delhi,455,1-stop,Mumbai,6638,Early Morning,Afternoon,7,Economy
150,6E-2092,Delhi,320,1-stop,Mumbai,6932,Evening,Night,7,Economy
151,6E-282,Delhi,580,2+-stop,Mumbai,6953,Morning,Evening,7,Economy
152,6E-6278,Delhi,140,non-stop,Mumbai,7110,Morning,Morning,7,Economy
153,6E-369,Delhi,625,1-stop,Mumbai,9263,Night,Morning,7,Economy
154,6E-2168,Delhi,265,1-stop,Mumbai,9373,Evening,Night,7,Economy
155,6E-2373,Delhi,360,1-stop,Mumbai,9373,Afternoon,Evening,7,Economy
156,6E-926,Delhi,295,1-stop,Mumbai,9861,Evening,Night,7,Economy
157,6E-2154,Delhi,245,1-stop,Mumbai,9998,Morning,Afternoon,7,Economy
158,6E-2154,Delhi,500,1-stop,Mumbai,9998,Morning,Evening,7,Economy
159,6E-2193,Delhi,230,1-stop,Mumbai,10349,Afternoon,Evening,7,Business
160,6E-2193,Delhi,500,1-stop,Mumbai,10349,Afternoon,Night,7,Business
161,6E-607,Delhi,610,1-stop,Mumbai,10349,Night,Morning,7,Business
162,6E-181,Delhi,290,1-stop,Mumbai,11573,Early Morning,Morning,7,Business
163,6E-184,Delhi,250,1-stop,Mumbai,12098,Morning,Afternoon,7,Business
164,6E-2102,Delhi,305,1-stop,Mumbai,12791,Early Morning,Afternoon,7,Business
165,6E-7403,Delhi,520,1-stop,Mumbai,13279,Early Morning,Evening,7,Business
166,6E-152,Delhi,460,1-stop,Mumbai,14255,Morning,Evening,7,Business
167,6E-2054,Delhi,130,non-stop,Mumbai,5955,Early Morning,Morning,8,Economy
168,6E-5001,Delhi,130,non-stop,Mumbai,5955,Early Morning,Morning,8,Economy
169,6E-2137,Delhi,130,non-stop,Mumbai,5955,Night,Night,8,Economy
170,6E-218,Delhi,140,non-stop,Mumbai,5955,Morning,Afternoon,8,Economy
171,6E-5328,Delhi,150,non-stop,Mumbai,5955,Morning,Afternoon,8,Economy
172,6E-2097,Delhi,455,1-stop,Mumbai,5955,Early Morning,Afternoon,8,Economy
173,6E-5018,Delhi,620,1-stop,Mumbai,5955,Afternoon,Night,8,Economy
174,6E-2046,Delhi,130,non-stop,Mumbai,6165,Evening,Evening,8,Economy
175,6E-5041,Delhi,130,non-stop,Mumbai,6165,Evening,Night,8,Economy
176,6E-6278,Delhi,140,non-stop,Mumbai,6165,Morning,Morning,8,Economy
177,6E-6202,Delhi,130,non-stop,Mumbai,6585,Afternoon,Afternoon,8,Economy
178,6E-549,Delhi,135,non-stop,Mumbai,6585,Afternoon,Evening,8,Economy
179,6E-2092,Delhi,320,1-stop,Mumbai,6932,Evening,Night,8,Economy
180,6E-926,Delhi,295,1-stop,Mumbai,7420,Evening,Night,8,Economy
181,6E-2083,Delhi,325,1-stop,Mumbai,7908,Early Morning,Morning,8,Economy
182,6E-184,Delhi,250,1-stop,Mumbai,8108,Morning,Afternoon,8,Economy
183,6E-6722,Delhi,135,non-stop,Mumbai,8685,Night,Night,8,Economy
184,6E-2193,Delhi,230,1-stop,Mumbai,8885,Afternoon,Evening,8,Economy
185,6E-2168,Delhi,265,1-stop,Mumbai,8885,Evening,Night,8,Economy
186,6E-2193,Delhi,500,1-stop,Mumbai,8885,Afternoon,Night,8,Economy
187,6E-152,Delhi,460,1-stop,Mumbai,9861,Morning,Evening,8,Economy
188,6E-369,Delhi,625,1-stop,Mumbai,9861,Night,Morning,8,Economy
189,6E-2373,Delhi,360,1-stop,Mumbai,10003,Afternoon,Evening,8,Business
190,6E-5088,Delhi,615,1-stop,Mumbai,10523,Early Morning,Evening,8,Business
191,6E-2338,Delhi,480,1-stop,Mumbai,10733,Afternoon,Night,8,Business
192,6E-2102,Delhi,305,1-stop,Mumbai,10838,Early Morning,Afternoon,8,Business
193,6E-181,Delhi,290,1-stop,Mumbai,11993,Early Morning,Morning,8,Business
194,6E-607,Delhi,610,1-stop,Mumbai,12302,Night,Morning,8,Business
195,6E-2054,Delhi,130,non-stop,Mumbai,5955,Early Morning,Morning,9,Economy
196,6E-5001,Delhi,130,non-stop,Mumbai,5955,Early Morning,Morning,9,Economy
197,6E-2137,Delhi,130,non-stop,Mumbai,5955,Night,Night,9,Economy
198,6E-6278,Delhi,140,non-stop,Mumbai,5955,Morning,Morning,9,Economy
199,6E-218,Delhi,140,non-stop,Mumbai,5955,Morning,Afternoon,9,Economy
200,6E-5328,Delhi,150,non-stop,Mumbai,5955,Morning,Afternoon,9,Economy
201,6E-6202,Delhi,130,non-stop,Mumbai,6165,Afternoon,Afternoon,9,Economy
202,6E-5041,Delhi,130,non-stop,Mumbai,6165,Evening,Night,9,Economy
203,6E-6722,Delhi,135,non-stop,Mumbai,6165,Night,Night,9,Economy
204,6E-2092,Delhi,320,1-stop,Mumbai,6443,Evening,Night,9,Economy
205,6E-2046,Delhi,130,non-stop,Mumbai,6585,Evening,Evening,9,Economy
206,6E-5018,Delhi,620,1-stop,Mumbai,6932,Afternoon,Night,9,Economy
207,6E-549,Delhi,135,non-stop,Mumbai,7530,Afternoon,Evening,9,Economy
208,6E-184,Delhi,250,1-stop,Mumbai,7898,Morning,Afternoon,9,Economy
209,6E-282,Delhi,580,2+-stop,Mumbai,8003,Morning,Evening,9,Economy
210,6E-2083,Delhi,325,1-stop,Mumbai,9373,Early Morning,Morning,9,Economy
211,6E-2168,Delhi,265,1-stop,Mumbai,10349,Evening,Night,9,Business
212,6E-2373,Delhi,360,1-stop,Mumbai,10721,Afternoon,Evening,9,Business
213,6E-2193,Delhi,230,1-stop,Mumbai,10838,Afternoon,Evening,9,Business
214,6E-152,Delhi,460,1-stop,Mumbai,10838,Morning,Evening,9,Business
215,6E-2193,Delhi,500,1-stop,Mumbai,10838,Afternoon,Night,9,Business
216,6E-369,Delhi,625,1-stop,Mumbai,11153,Night,Morning,9,Business
217,6E-926,Delhi,295,1-stop,Mumbai,11326,Evening,Night,9,Business
218,6E-607,Delhi,610,1-stop,Mumbai,12791,Night,Morning,9,Business
219,6E-2901,Delhi,570,1-stop,Mumbai,13673,Morning,Night,9,Business
220,6E-2338,Delhi,480,1-stop,Mumbai,13767,Afternoon,Night,9,Business
221,6E-2154,Delhi,245,1-stop,Mumbai,15720,Morning,Afternoon,9,Business
222,6E-181,Delhi,290,1-stop,Mumbai,15720,Early Morning,Morning,9,Business
223,6E-2901,Delhi,290,1-stop,Mumbai,15720,Morning,Evening,9,Business
224,6E-2097,Delhi,455,1-stop,Mumbai,15720,Early Morning,Afternoon,9,Business
225,6E-2054,Delhi,130,non-stop,Mumbai,5955,Early Morning,Morning,10,Economy
226,6E-5001,Delhi,130,non-stop,Mumbai,5955,Early Morning,Morning,10,Economy
227,6E-6261,Delhi,135,non-stop,Mumbai,5955,Night,Night,10,Economy
228,6E-6278,Delhi,140,non-stop,Mumbai,5955,Morning,Morning,10,Economy
229,6E-218,Delhi,140,non-stop,Mumbai,6165,Morning,Afternoon,10,Economy
230,6E-2137,Delhi,130,non-stop,Mumbai,6585,Night,Night,10,Economy
231,6E-5328,Delhi,150,non-stop,Mumbai,6585,Morning,Afternoon,10,Economy
232,6E-2013,Delhi,395,1-stop,Mumbai,7420,Early Morning,Morning,10,Economy
233,6E-6722,Delhi,135,non-stop,Mumbai,7530,Night,Night,10,Economy
234,6E-5041,Delhi,130,non-stop,Mumbai,7845,Evening,Night,10,Economy
235,6E-6202,Delhi,130,non-stop,Mumbai,8055,Afternoon,Afternoon,10,Economy
236,6E-184,Delhi,250,1-stop,Mumbai,8108,Morning,Afternoon,10,Economy
237,6E-2046,Delhi,130,non-stop,Mumbai,8685,Evening,Evening,10,Economy
238,6E-549,Delhi,135,non-stop,Mumbai,8685,Afternoon,Evening,10,Economy
239,6E-2083,Delhi,325,1-stop,Mumbai,8885,Early Morning,Morning,10,Economy
240,6E-5018,Delhi,620,1-stop,Mumbai,9263,Afternoon,Night,10,Economy
241,6E-926,Delhi,295,1-stop,Mumbai,9373,Evening,Night,10,Economy
242,6E-5063,Delhi,495,1-stop,Mumbai,9373,Afternoon,Night,10,Economy
243,6E-607,Delhi,610,1-stop,Mumbai,9861,Night,Morning,10,Economy
244,6E-2092,Delhi,320,1-stop,Mumbai,10260,Evening,Night,10,Business
245,6E-2168,Delhi,265,1-stop,Mumbai,10349,Evening,Night,10,Business
246,6E-369,Delhi,625,1-stop,Mumbai,10523,Night,Morning,10,Business
247,6E-2193,Delhi,500,1-stop,Mumbai,10838,Afternoon,Night,10,Business
248,6E-5063,Delhi,325,1-stop,Mumbai,11326,Afternoon,Night,10,Business
249,6E-2373,Delhi,360,1-stop,Mumbai,12226,Afternoon,Evening,10,Business
250,6E-181,Delhi,290,1-stop,Mumbai,13673,Early Morning,Morning,10,Business
251,6E-2338,Delhi,480,1-stop,Mumbai,13767,Afternoon,Night,10,Business
252,6E-2154,Delhi,300,1-stop,Mumbai,15232,Morning,Afternoon,10,Business
253,6E-2097,Delhi,455,1-stop,Mumbai,15232,Early Morning,Afternoon,10,Business
254,6E-2102,Delhi,305,1-stop,Mumbai,15720,Early Morning,Afternoon,10,Business
255,6E-7403,Delhi,520,1-stop,Mumbai,15720,Early Morning,Evening,10,Business
256,6E-2154,Delhi,555,1-stop,Mumbai,15720,Morning,Evening,10,Business
257,6E-171,Delhi,130,non-stop,Mumbai,5955,Night,Early Morning,11,Economy
258,6E-2054,Delhi,130,non-stop,Mumbai,5955,Early Morning,Morning,11,Economy
259,6E-2137,Delhi,130,non-stop,Mumbai,5955,Night,Night,11,Economy
260,6E-6261,Delhi,135,non-stop,Mumbai,5955,Night,Night,11,Economy
261,6E-6722,Delhi,135,non-stop,Mumbai,5955,Night,Night,11,Economy
262,6E-218,Delhi,140,non-stop,Mumbai,5955,Morning,Afternoon,11,Economy
263,6E-5328,Delhi,150,non-stop,Mumbai,5955,Morning,Afternoon,11,Economy
264,6E-2092,Delhi,320,1-stop,Mumbai,5955,Evening,Night,11,Economy
265,6E-2013,Delhi,395,1-stop,Mumbai,5955,Early Morning,Morning,11,Economy
266,6E-5018,Delhi,620,1-stop,Mumbai,5955,Afternoon,Night,11,Economy
267,6E-5001,Delhi,130,non-stop,Mumbai,6165,Early Morning,Morning,11,Economy
268,6E-2046,Delhi,130,non-stop,Mumbai,6165,Evening,Evening,11,Economy
269,6E-549,Delhi,135,non-stop,Mumbai,6165,Afternoon,Evening,11,Economy
270,6E-6278,Delhi,140,non-stop,Mumbai,6165,Morning,Morning,11,Economy
271,6E-2373,Delhi,360,1-stop,Mumbai,6443,Afternoon,Evening,11,Economy
272,6E-6202,Delhi,130,non-stop,Mumbai,6585,Afternoon,Afternoon,11,Economy
273,6E-5041,Delhi,130,non-stop,Mumbai,6585,Evening,Night,11,Economy
274,6E-184,Delhi,250,1-stop,Mumbai,6638,Morning,Afternoon,11,Economy
275,6E-607,Delhi,460,1-stop,Mumbai,6932,Night,Early Morning,11,Economy
276,6E-369,Delhi,625,1-stop,Mumbai,6932,Night,Morning,11,Economy
277,6E-926,Delhi,295,1-stop,Mumbai,7420,Evening,Night,11,Economy
278,6E-2083,Delhi,325,1-stop,Mumbai,7420,Early Morning,Morning,11,Economy
279,6E-2042,Delhi,575,1-stop,Mumbai,7420,Night,Early Morning,11,Economy
280,6E-2168,Delhi,265,1-stop,Mumbai,8396,Evening,Night,11,Economy
281,6E-607,Delhi,610,1-stop,Mumbai,8885,Night,Morning,11,Economy
282,6E-2193,Delhi,230,1-stop,Mumbai,10838,Afternoon,Evening,11,Business
283,6E-2193,Delhi,500,1-stop,Mumbai,10838,Afternoon,Night,11,Business
284,6E-181,Delhi,290,1-stop,Mumbai,11153,Early Morning,Morning,11,Business
285,6E-2338,Delhi,480,1-stop,Mumbai,11153,Afternoon,Night,11,Business
286,6E-152,Delhi,460,1-stop,Mumbai,11326,Morning,Evening,11,Business
287,6E-2102,Delhi,305,1-stop,Mumbai,14255,Early Morning,Afternoon,11,Business
288,6E-2097,Delhi,455,1-stop,Mumbai,14723,Early Morning,Afternoon,11,Business
289,6E-171,Delhi,130,non-stop,Mumbai,5955,Night,Early Morning,12,Economy
290,6E-2054,Delhi,130,non-stop,Mumbai,5955,Early Morning,Morning,12,Economy
291,6E-5001,Delhi,130,non-stop,Mumbai,5955,Early Morning,Morning,12,Economy
292,6E-6202,Delhi,130,non-stop,Mumbai,5955,Afternoon,Afternoon,12,Economy
293,6E-5041,Delhi,130,non-stop,Mumbai,5955,Evening,Night,12,Economy
294,6E-2137,Delhi,130,non-stop,Mumbai,5955,Night,Night,12,Economy
295,6E-6261,Delhi,135,non-stop,Mumbai,5955,Night,Night,12,Economy
296,6E-6278,Delhi,140,non-stop,Mumbai,5955,Morning,Morning,12,Economy
297,6E-218,Delhi,140,non-stop,Mumbai,5955,Morning,Afternoon,12,Economy
298,6E-5328,Delhi,150,non-stop,Mumbai,5955,Morning,Afternoon,12,Economy
299,6E-2168,Delhi,265,1-stop,Mumbai,5955,Evening,Night,12,Economy
300,6E-2092,Delhi,320,1-stop,Mumbai,5955,Evening,Night,12,Economy
301,6E-2373,Delhi,360,1-stop,Mumbai,5955,Afternoon,Evening,12,Economy
302,6E-607,Delhi,460,1-stop,Mumbai,5955,Night,Early Morning,12,Economy
303,6E-2193,Delhi,500,1-stop,Mumbai,5955,Afternoon,Night,12,Economy
304,6E-5018,Delhi,620,1-stop,Mumbai,5955,Afternoon,Night,12,Economy
305,6E-369,Delhi,625,1-stop,Mumbai,5955,Night,Morning,12,Economy
306,6E-2046,Delhi,130,non-stop,Mumbai,6165,Evening,Evening,12,Economy
307,6E-549,Delhi,135,non-stop,Mumbai,6165,Afternoon,Evening,12,Economy
308,6E-6722,Delhi,135,non-stop,Mumbai,6165,Night,Night,12,Economy
309,6E-282,Delhi,580,2+-stop,Mumbai,6323,Morning,Evening,12,Economy
310,6E-2154,Delhi,245,1-stop,Mumbai,6428,Morning,Afternoon,12,Economy
311,6E-2097,Delhi,455,1-stop,Mumbai,6428,Early Morning,Afternoon,12,Economy
312,6E-2193,Delhi,230,1-stop,Mumbai,6443,Afternoon,Evening,12,Economy
313,6E-152,Delhi,460,1-stop,Mumbai,6443,Morning,Evening,12,Economy
314,6E-926,Delhi,295,1-stop,Mumbai,6932,Evening,Night,12,Economy
315,6E-2083,Delhi,325,1-stop,Mumbai,6932,Early Morning,Morning,12,Economy
316,6E-2042,Delhi,575,1-stop,Mumbai,6932,Night,Early Morning,12,Economy
317,6E-607,Delhi,610,1-stop,Mumbai,6932,Night,Morning,12,Economy
318,6E-184,Delhi,250,1-stop,Mumbai,7373,Morning,Afternoon,12,Economy
319,6E-2154,Delhi,500,1-stop,Mumbai,7583,Morning,Evening,12,Economy
320,6E-181,Delhi,290,1-stop,Mumbai,8396,Early Morning,Morning,12,Economy
